id,created,updated,assetId,durationSeconds,aspectRatio,maxResolution,playbackId,streamUrl,posterUrl,references,sourceTypes,sourceDocs
44177256-de8c-47d0-a277-e3d7a5920f1e,2026-01-22T15:33:50Z,2026-01-22T15:34:25Z,gxN8cZwk201FHinfmeE2Qg6nCEm02hD02xRDfaNaMo6YpQ,19.216667,512:361,UHD,kS1qBXHjLYEqMvaYU6dJbQONneVJweVbxxphjT5f4Wo,https://stream.mux.com/kS1qBXHjLYEqMvaYU6dJbQONneVJweVbxxphjT5f4Wo.m3u8,https://image.mux.com/kS1qBXHjLYEqMvaYU6dJbQONneVJweVbxxphjT5f4Wo/thumbnail.jpg?time=0,1,releaseNote,1-15-1-polish-galore
8ebd8ee8-1cf5-4ca2-b0e7-743d95debaf7,2026-01-22T15:35:00Z,2026-01-22T15:35:20Z,801cQHLuxY02iTgqsFZ6JAFe2guVK2ReTjV6u3gdu13WU,3.783333,256:255,UHD,01YUTPuLqZK00NhYiSzhKZFrlEfi8RsHftLE01UvwfVChM,https://stream.mux.com/01YUTPuLqZK00NhYiSzhKZFrlEfi8RsHftLE01UvwfVChM.m3u8,https://image.mux.com/01YUTPuLqZK00NhYiSzhKZFrlEfi8RsHftLE01UvwfVChM/thumbnail.jpg?time=0,1,releaseNote,1-15-1-polish-galore
8b7fc654-11a1-4de0-855f-7f47918b0fd0,2026-01-28T14:42:11Z,2026-01-28T14:44:18Z,BYztSZkzsRCk00wvX01A00FcxSwKUsODipj0176A00I01smzQ,22.416667,369:374,HD,Kj3v5pn798W5EoG9HedcrkjKHTie65LkFYX00sy02Ly84,https://stream.mux.com/Kj3v5pn798W5EoG9HedcrkjKHTie65LkFYX00sy02Ly84.m3u8,https://image.mux.com/Kj3v5pn798W5EoG9HedcrkjKHTie65LkFYX00sy02Ly84/thumbnail.jpg?time=0,0,,
2544eaca-8b14-4297-b2a6-219204e4ef0b,2026-01-28T14:43:37Z,2026-01-28T14:44:08Z,wxgGcJCaHUcyqGt19NFAF8xHjPY72MtinYK1jeV1keA,22.416667,369:374,HD,o02QP311kdp00j02lCPR5xgMQLry00ZQ0000uZNu0200lJXFLVs,https://stream.mux.com/o02QP311kdp00j02lCPR5xgMQLry00ZQ0000uZNu0200lJXFLVs.m3u8,https://image.mux.com/o02QP311kdp00j02lCPR5xgMQLry00ZQ0000uZNu0200lJXFLVs/thumbnail.jpg?time=0,0,,
26e7c4f5-b8ab-4ec6-bc96-faf5077acbe8,2026-01-28T14:44:33Z,2026-01-28T21:59:05Z,CsUDytoCgWZbzCsBuQVXS02hRq00WaqvLKJUQmvemfOco,82.010667,1024:457,UHD,G3XOUBxJ7id7kVe92cDYqFCdbot7S8MwKBlKlHrdMjU,https://stream.mux.com/G3XOUBxJ7id7kVe92cDYqFCdbot7S8MwKBlKlHrdMjU.m3u8,https://image.mux.com/G3XOUBxJ7id7kVe92cDYqFCdbot7S8MwKBlKlHrdMjU/thumbnail.jpg?time=0,0,,
e5efa12b-c270-43ce-b6a6-06659bba7cf6,2026-01-28T21:53:25Z,2026-01-28T21:54:00Z,02GGhOxf800nZp01ySAI3xX8xjGXzY2pzopDPYCcMrTPzM,20.783333,1024:681,UHD,tU8GapmbPA84RDX9Au00XN7ghql5banA32vtaWs01lJnw,https://stream.mux.com/tU8GapmbPA84RDX9Au00XN7ghql5banA32vtaWs01lJnw.m3u8,https://image.mux.com/tU8GapmbPA84RDX9Au00XN7ghql5banA32vtaWs01lJnw/thumbnail.jpg?time=0,1,releaseNote,1-16-0-organization-that-grows
252cc432-ec27-4ba4-aebe-08a0bd94a559,2026-01-28T21:54:18Z,2026-01-28T21:54:41Z,UBQB8lbAsWVuo84GZ5cOBf3B01Lkl14Q1QGJH00f94YzQ,6.733333,1024:681,UHD,6KbAWy9EZ1FX8MNJXMj8NNXJaHM6gjy01ZC9mPpVFZjQ,https://stream.mux.com/6KbAWy9EZ1FX8MNJXMj8NNXJaHM6gjy01ZC9mPpVFZjQ.m3u8,https://image.mux.com/6KbAWy9EZ1FX8MNJXMj8NNXJaHM6gjy01ZC9mPpVFZjQ/thumbnail.jpg?time=0,1,releaseNote,1-16-0-organization-that-grows
08e9908a-083d-42c2-b2ad-4cc56c6f31d3,2026-01-28T21:56:33Z,2026-01-28T21:57:32Z,SEpArRYSLFbcnw01IpMlQEiHDL1dndbLYAuqLOfAUcco,45.366667,1024:681,UHD,RPMxexWYA1gQEbAPHFGQGMHyNdue202Cuix2PLq7yMok,https://stream.mux.com/RPMxexWYA1gQEbAPHFGQGMHyNdue202Cuix2PLq7yMok.m3u8,https://image.mux.com/RPMxexWYA1gQEbAPHFGQGMHyNdue202Cuix2PLq7yMok/thumbnail.jpg?time=0,1,releaseNote,1-16-0-organization-that-grows
82351aa3-b5f6-4875-b0d1-934d20a99c87,2026-01-28T21:57:51Z,2026-01-28T21:58:17Z,6Gz7FNNr138W7aDLt1uHu1TFmdUTB66QguvuDZzHSlk,5.666667,1024:681,UHD,LCCG3d1JKj01pCQfzzz6vmkQVeWwVw6feEN8d242ogc8,https://stream.mux.com/LCCG3d1JKj01pCQfzzz6vmkQVeWwVw6feEN8d242ogc8.m3u8,https://image.mux.com/LCCG3d1JKj01pCQfzzz6vmkQVeWwVw6feEN8d242ogc8/thumbnail.jpg?time=0,1,releaseNote,1-16-0-organization-that-grows
8dca0426-7d62-4974-a04c-8dd5649b63fa,2026-02-03T16:29:06Z,2026-02-03T16:29:28Z,Hh02huWSO01E9wqC0202HhmKYaraI01dWJIq3kVsJiicEQh8,9.516667,1024:731,UHD,jp00zRKtzduLueAmQcVoBnR00ASUdtEvR7BtLMxtNjgu4,https://stream.mux.com/jp00zRKtzduLueAmQcVoBnR00ASUdtEvR7BtLMxtNjgu4.m3u8,https://image.mux.com/jp00zRKtzduLueAmQcVoBnR00ASUdtEvR7BtLMxtNjgu4/thumbnail.jpg?time=0,1,releaseNote,1-17-0-github-live-tab-groups
5a959780-892d-44d9-9f9e-17d045d55f70,2026-02-04T21:09:25Z,2026-02-04T21:09:50Z,vdPCuNtZq7WSdwvndHYW59KbHutzIXoW6ui00Ov00GiRo,12.733333,512:419,UHD,aAP4VOQ01XHRgMGBYhgkorD7LWNB3CyMgBhcW5tpaskw,https://stream.mux.com/aAP4VOQ01XHRgMGBYhgkorD7LWNB3CyMgBhcW5tpaskw.m3u8,https://image.mux.com/aAP4VOQ01XHRgMGBYhgkorD7LWNB3CyMgBhcW5tpaskw/thumbnail.jpg?time=0,0,,
f1693700-f881-4480-9449-74b598cdfb89,2026-02-04T21:10:24Z,2026-02-04T21:10:44Z,26G3yRrcsRuPuL97uZB02Luop4ZwySKw6m4U7guIgyP4,7.833333,32:23,UHD,e02F2CLd6bntpv4F7G69ZzODhSvyHKn00Rvkb1022TiQh4,https://stream.mux.com/e02F2CLd6bntpv4F7G69ZzODhSvyHKn00Rvkb1022TiQh4.m3u8,https://image.mux.com/e02F2CLd6bntpv4F7G69ZzODhSvyHKn00Rvkb1022TiQh4/thumbnail.jpg?time=0,0,,
5e198032-cf4c-462a-ae47-e0d34d354751,2026-02-04T21:11:49Z,2026-02-04T21:12:13Z,3oeYl4o02FoTNsNPp02I7PLYGh00aN6AYvW2qxIKiiYPAY,12.733333,512:419,UHD,dw011IwQDjS5NURQy8kVHivm1sZ2cL3eVM02U4oZ7C8kE,https://stream.mux.com/dw011IwQDjS5NURQy8kVHivm1sZ2cL3eVM02U4oZ7C8kE.m3u8,https://image.mux.com/dw011IwQDjS5NURQy8kVHivm1sZ2cL3eVM02U4oZ7C8kE/thumbnail.jpg?time=0,0,,
